블로그주소,게시글제목,주차,문단,문단순번
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,1주차 때 살면서 처음으로 회고록이란 걸 쓰면서 어떻게 시작해야 하는지 감이 잡히지 않아 두서없이 마구잡이로 회고록을 써 보았다. 나중에 1주 차 회고록을 봤을 때 너무 엉망인 것 같아 이번엔 좀 더 틀을 잡기 위해서 가이드를 읽었다. 그래서 이번엔 가이드에 써져 있는 방법을 하나씩 써보면서 나에게 맞는 회고록을 찾아보려 한다.,1
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,​,2
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,2주차 배운 점,3
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,"2주차에는 python 과목의 후반 부분을 마무리하고 SQL 과목의 초반을 배웠다. python에서 패키지 모듈,예외 처리와 입출력 파트를 다뤘는데 학부 시절에 배우지 않았던 파트라 생소했던 부분이 많았고 그만큼 더 자주 봤었던 것 같다. 그리고 sql은 기초부터 시작해서 데이터 베이스와 DBMS의 필요성과 sql에서 사용하는 문법에 대해서 배웠다.",4
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,어려웠던 부분,5
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,"python과목에서 패키지 모듈, 예외 처리, 입출력를 배웠는데 모두 기존에 배우지 않았던 부분이지만 특히 예외 처리가 특히 이해하기 어려웠었다.  예외 처리를 하는 과정에서 try block, except block을 사용하게 되는데 이전에 배웠던 if조건문이랑 비슷하게 느껴져서 굳이 if문을 두고 try, except를 사용하는 지 이해되지 않았다.",6
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,위에 예시처럼 둘이 동일하게 10을 0으로 나누면 에러가 나지 않고 정상적으로 코드를 작동시키는 것인데 나에겐 if을 사용한게 더 깔끔하게 느껴졌고 except는 불필요한게 많다고 생각했다. 혼자서 수업시간에 왜 예외 처리를 해야하는지 고민을 해봤지만 결론을 짓지 못했다.,7
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,예외 처리의 필요성에 대해 결론을 짓기 위해서 복습 겸 수업이 끝나고 처음 부분부터 책이랑 같이 읽어보았다. 이해가 되지 않을 때 마다 책에서 내용을 찾았고 내용이 이해가 되고 나서 다시 코드를 읽는 것을 반복했다. 그러고나서 예외 처리가 왜 필요한지에 대해서 스스로 결론을 지을 수 있었다. 예외처리는 사용하는 사람보다 코드를 만드는 사람의 입장으로 바라봤을 때 에러라는 코드를 인식하고 피드백을 준다는 관점에서 필요하다고 느껴졌다. 그렇게 생각하고 except 구문을 읽어보니 왜 error를 예측해야하고 그 예외적인 상황을 대처해야하는지 이해가 되었다.,8
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,깨달은점,9
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,"기존에 수업 복습이랑 2주차에 접어들면서 스터디 공부 , 프로젝트까지 생기면서 해야 할 것들이 수 배로 늘어나면서 한정된 시간내에 하나씩 빠르게 해결해야만 하는데 체력이 부족하다는게 확실하게 느껴졌다.",10
